area_code,year,life_expectancy,imd_score,imd_decile,physiological_score,behavioural_score
E06000049,2015,82.027455,14.475,9,101.4,104
E06000049,2016,82.057975,14.475,9,100.3,104
E06000049,2017,82.19,14.475,9,99.3,102.9
E06000049,2018,82.045,14.475,9,94.4,104.9
E06000050,2015,81.329605,18.083,8,100.9,102.4
E06000050,2016,81.46305000000001,18.083,8,100.3,101.5
E06000050,2017,81.695,18.083,8,99.8,103.5
E06000050,2018,81.505,18.083,8,96.3,100.9
E06000051,2015,81.89439999999999,17.153,8,98.9,108.8
E06000051,2016,81.98205999999999,17.153,8,97.8,105.8
E06000051,2017,82.07499999999999,17.153,8,87,108.6
E06000051,2018,81.945,17.153,8,83.3,102.5
E06000052,2015,81.53270499999999,23.072,5,99.7,98.9
E06000052,2016,81.465475,23.072,5,99.4,99.6
E06000052,2017,81.64500000000001,23.072,5,96.3,100.5
E06000052,2018,81.74000000000001,23.072,5,100.5,99.6
E06000054,2015,82.44224,13.447,9,97.9,110.1
E06000054,2016,82.628615,13.447,9,96.6,109.3
E06000054,2017,82.875,13.447,9,97.5,105
E06000054,2018,82.725,13.447,9,99.9,106.7
E06000055,2015,81.56491,18.932,7,103.4,97.7
E06000055,2016,81.640155,18.932,7,102.6,100.1
E06000055,2017,81.525,18.932,7,100.3,101.7
E06000055,2018,81.235,18.932,7,98.6,97.4
E06000056,2015,82.89752,12.152,10,103.2,102.9
E06000056,2016,82.65067,12.152,10,102.9,108.7
E06000056,2017,82.81,12.152,10,98.8,104.6
E06000056,2018,82.32,12.152,10,101.1,101.4
E06000057,2015,81.06349499999999,22.079,6,91.2,94.5
E06000057,2016,81.05432,22.079,6,90.8,96.1
E06000057,2017,81.15,22.079,6,87.9,95.1
E06000057,2018,81.075,22.079,6,88.3,90.4
E08000001,2015,79.692295,30.691,2,94.6,90.7
E08000001,2016,79.74969999999999,30.691,2,94.5,92.9
E08000001,2017,79.75999999999999,30.691,2,97.1,93.2
E08000001,2018,79.215,30.691,2,94.1,92.1
E08000002,2015,79.88017500000001,23.682,5,95.2,96.7
E08000002,2016,80.21004500000001,23.682,5,93.2,100.9
E08000002,2017,80.58500000000001,23.682,5,94.8,100.3
E08000002,2018,80.18,23.682,5,95.7,95
E08000003,2015,77.62209,40.005,1,107,86
E08000003,2016,77.95034000000001,40.005,1,107.1,88.3
E08000003,2017,78.33,40.005,1,105.7,90.9
E08000003,2018,77.655,40.005,1,105,92.7
E08000004,2015,79.049735,33.155,2,93.7,90.2
E08000004,2016,79.28408,33.155,2,93.1,93.8
E08000004,2017,79.285,33.155,2,91.8,95.2
E08000004,2018,78.85,33.155,2,90.5,90.7
E08000005,2015,78.92506499999999,34.415,1,94.8,89.4
E08000005,2016,79.0558,34.415,1,94,92.8
E08000005,2017,79.28,34.415,1,87.4,93.9
E08000005,2018,78.795,34.415,1,91.2,89.7
E08000006,2015,78.86414500000001,34.21,2,100.8,83
E08000006,2016,79.01079999999999,34.21,2,100.8,86.4
E08000006,2017,79.38,34.21,2,100.9,86.9
E08000006,2018,78.815,34.21,2,99,84.6
E08000007,2015,81.549965,20.826,6,99.9,94.6
E08000007,2016,81.70211499999999,20.826,6,99,100.8
E08000007,2017,81.56,20.826,6,99.4,102.1
E08000007,2018,81.29499999999999,20.826,6,98.8,97.6
E08000008,2015,79.15234000000001,31.374,2,91.4,85.4
E08000008,2016,79.13206500000001,31.374,2,90.3,88.7
E08000008,2017,79.065,31.374,2,88.8,91
