area_name,area_code,low_income_children,ltc_employment_gap,ltc_working,sickness_absence,homelessness,fuel_poverty,loneliness,low_birth_weight,child_injury_admissions,self_harm_admissions,inactive_adults,suicide_rate,imd_score,imd_decile
Blackpool,E06000009,28.879686128746638,15.937966456962956,57.61213752656565,1.472167373282919,19.538367629769468,16.635046385014952,29.2966775823362,3.538106045260369,158.37065474571838,491.43849341574486,29.14023926712185,17.110352381514712,45.039,1
Bolsover,E07000033,21.410002365926154,15.945718499746434,54.671998446561005,1.2629607775885534,4.108923732682504,16.2397068508533,24.0472684795637,2.658840896562133,97.02475132646636,263.0250860371677,26.352392522605516,12.375891805196595,25.047,3
Bolton,E08000001,22.98308291303351,15.282612872892289,49.584679865435,1.2321797095964815,13.743770782205367,14.703425981622,26.9651477654722,3.6509688651045282,120.18947858061846,221.8273972907015,28.283823771401632,11.703199510473533,30.691,2
Boston,E07000136,17.07138954910342,12.613779326921309,56.5708310219677,2.191964773628225,6.84608402409059,15.94003681046025,18.0692920535821,2.560247825715655,116.77184725840323,155.55351345266757,29.274229744919683,14.510902033572616,22.967,4
"Bournemouth, Christchurch and Poole",E06000058,17.10615080624048,10.915374842522418,64.6013345113634,1.32643499865991,13.5727589364414,10.8428756812992,25.5923245676021,2.786030041543722,112.04741182748187,316.8608481191302,20.8961676197206,12.689241603240177,18.173,6
Bracknell Forest,E06000036,10.465470709629937,6.349789962770016,71.6627929106389,1.1769565101112578,12.598379191955466,5.70133422152069,24.7551061206669,2.084907445011836,79.91743065847562,163.85766017565456,17.5308512248048,10.020658663272371,10.241,10
Bradford,E08000032,26.29573354433429,10.69166948591509,61.38227601977785,1.4366940072238583,13.033439450378633,18.41504755009775,21.2033106357193,4.095635194612097,119.43669584166584,235.9951367846937,26.102328470878984,10.185338529839907,34.666,1
Braintree,E07000067,13.669336971161064,11.391565616334825,74.7615572413871,1.4026083698286143,7.45856764896961,13.0124135174516,22.5479735977402,2.3266463937169783,93.54316470196873,148.83979992834253,23.090408348246783,11.018878279230373,14.723,7
Breckland,E07000143,14.618602678555327,13.763636073365795,73.49227663485115,1.2990861784191097,9.84569186739585,14.8221219026246,22.3917295682628,2.344840518713559,101.60747594843754,163.05178135904254,24.431844851498365,13.212797895970276,19.614,5
Brent,E09000005,27.533182021116335,9.56572112816933,69.1665146310458,0.8157279771733051,22.0216405793742,15.281719864328299,27.2163634323959,3.703994619763776,67.10001548006286,59.35944773471145,29.785324388946517,8.461112094212481,25.558,3
Brentwood,E07000068,10.27807966394486,2.7175657053935023,68.20647241205045,1.6822887071491772,3.0118043796308767,10.0967529480293,16.9676306365196,2.2029976287185518,66.03373652979782,85.87331845778982,19.299572515947933,11.768862723342583,10.007,10
Bristol,E06000023,24.016277786068617,10.661884151832778,67.75864580630815,1.069029380926993,12.856422734415034,14.0620346401973,22.5311110853106,2.9269603919790423,104.95914392786939,291.1776078131834,17.081116320868983,11.180790078902016,26.363,3
Broadland,E07000144,9.294155808384874,8.200400471323082,72.37905006033836,1.0291523823916109,3.8522043892196836,11.4997552847009,18.5814225914052,2.2712057629330635,101.47798898554805,162.6596014982385,20.410709280973016,11.090485934724505,11.817,9
Bromley,E09000006,15.707101171055482,11.683357607401122,75.18030511943695,1.3745185779502513,8.237476771781136,10.58990952168376,17.9018644753569,2.4091602541310992,63.76988277436736,102.38564273070969,18.67274998870345,7.7356569252994,14.163,8
Bromsgrove,E07000234,9.379595791245764,7.560839717863374,73.44103726870385,1.0487681862489244,5.7647655289049045,11.6963142827078,17.7495509135467,2.0607842312141726,86.90968781826447,161.84421644611808,18.476085694615918,10.313945890224606,11.697,9
Broxbourne,E07000095,17.20692839402561,14.695665397185108,73.6273382578557,1.6865462247019534,15.3092089960481,10.3934509837696,18.9899420802439,2.529019882128175,82.26848045732176,92.45739659847698,25.51714448338305,9.513031926523965,17.989,6
Broxtowe,E07000172,14.17812777936969,10.76722529920439,68.83040499447685,1.5038497602844862,5.456167533630423,12.624885512449548,27.6578880708137,2.412278522044208,62.38964098443048,160.37125491358057,19.560260141959834,10.087129782057609,14.238,8
Buckinghamshire UA,E06000060,10.131550946291382,7.8556304440326885,67.16756322391755,1.0953744249317876,8.356836980050444,6.908839783705645,17.6691946267673,2.6527308535431193,96.14933677176063,117.78540497529033,17.724999167990966,8.813709603334068,10.052,10
Burnley,E07000117,26.544908098121045,13.958989113380666,58.220058180513,1.657290699613753,14.020005136765333,16.14201848920475,24.6569822843723,3.7446843844434246,164.06871797161725,298.23553589392185,27.236593401121766,14.025868339307955,37.793,1
Bury,E08000002,17.27663376311531,12.606897786404078,65.5694311296361,1.2321938974445348,9.744651473063954,13.27032092135535,24.4041778327491,2.7395671567736164,131.85549852236983,201.9943502154413,23.020863698948734,11.35327952334039,23.682,4
Calderdale,E08000033,20.56702476912008,9.90069089428729,64.19582022042556,1.1204236585816834,8.822760511848383,17.0124287810472,24.7927462609531,3.1846784873106126,122.86904263660571,212.03471188836144,23.353634208482184,12.34486867078503,26.351,3
Cambridge,E07000008,15.827260844217891,8.809868871449048,77.5884550825842,1.1560430366826242,14.249852579457567,14.75840423686715,23.9042164432674,2.6988530606844257,65.88214874230859,293.86100462222663,13.63916357425725,13.542020949201966,14.855,7
Camden,E09000007,34.30502484393345,13.39429494970973,55.076690976924255,1.1134295632714033,9.166042957151927,11.942655992233451,36.2835165829369,3.1759863397820896,60.14587847909905,79.90172605205511,19.08582613682865,12.94835198086497,20.131,5
Cannock Chase,E07000192,17.220858520927727,13.991668414587595,74.0343096117054,1.0856650872024083,4.800871813505947,16.29841071749175,25.119101327237,2.894362345185635,113.41488195909774,210.06635595530562,25.607526845551135,13.359376523500604,20.426,5
Canterbury,E07000106,16.9439768394061,8.479585877670035,72.3730413740625,1.8262117127388724,11.9356397980876,9.788398264956559,20.677793510537,2.206813298492221,77.2607245549633,230.8824681277551,18.2707057979276,11.852698501805309,16.798,6
Carlisle,E07000028,15.360241487166881,14.387603146507377,69.11777821783744,1.526482134183695,8.90547239293257,14.49416430634125,16.5572819462759,2.493380480488725,116.89072276627,257.6642452787856,22.85937093649118,15.708615643605384,21.997,4
Castle Point,E07000069,15.34988842323001,7.181537068316288,70.16864959635839,1.7249631795331506,6.7850101763829604,11.40843553255025,19.581043575597,1.8587531228479686,68.66649966969032,118.55234873014844,24.1467527366156,9.46891061310084,16.842,6
Central Bedfordshire,E06000056,12.101297529528082,10.456236624754291,69.58187954520135,1.299060023698304,8.606810632584923,11.4598893623614,26.185562963249,2.4400522129248445,91.95520786484825,144.6702765451199,20.504970038355783,7.8999870050604715,12.152,9
Charnwood,E07000130,13.143411443790109,10.942699295589934,78.4397148505326,1.0007952378728788,5.60662625613852,12.1981694881208,23.5741741306779,2.739860358447035,66.17036059684459,135.2116347460194,19.95826856159485,7.66234999265716,13.238,8
Chelmsford,E07000070,12.017265998492254,8.414857353743981,74.09128880975601,0.8853831312540831,10.910718825700934,10.576183564139999,17.332194731888,2.089539732620204,94.8989579408221,149.8980885438019,20.552942099597484,10.191751141524454,12.221,9
Cheltenham,E07000078,15.430253493412982,9.222550291927622,80.21564031926431,0.604259501943381,9.54836567443798,11.213167462938,24.4624928315698,2.435637641196696,84.89656089305595,231.48953350670538,17.612913427301983,13.090964645609198,14.26,8
Cherwell,E07000177,11.218757004513364,11.915332629515357,75.7624380821014,0.9806736074704359,5.8938362806987135,7.522477358980581,26.7007268302212,2.412803158528425,105.07818497441595,175.6867973811314,20.870786967727334,11.107008965151355,14.41,7
